Country,Gender,Demographics_Question,Demographics_Response,Question,Value
Afghanistan,F,Residence,Urban,... if she refuses to have sex with him,27.4
Afghanistan,M,Age,15-24,... for at least one specific reason,74.1
Afghanistan,M,Age,25-34,... for at least one specific reason,70.5
Afghanistan,M,Age,35-49,... for at least one specific reason,73.6
Afghanistan,M,Age,15-24,... if she argues with him,44.4
Afghanistan,M,Age,25-34,... if she argues with him,44.6
Afghanistan,M,Age,35-49,... if she argues with him,46.6
Afghanistan,M,Age,15-24,... if she goes out without telling him,63.3
Afghanistan,M,Age,25-34,... if she goes out without telling him,60.4
Afghanistan,M,Age,35-49,... if she goes out without telling him,61.0
Afghanistan,M,Age,15-24,... if she neglects the children,24.8
Afghanistan,M,Age,25-34,... if she neglects the children,27.0
Afghanistan,M,Age,35-49,... if she neglects the children,25.7
Afghanistan,M,Age,15-24,... if she refuses to have sex with him,21.3
Afghanistan,M,Age,25-34,... if she refuses to have sex with him,18.5
Afghanistan,M,Age,35-49,... if she refuses to have sex with him,20.1
Afghanistan,M,Education,Higher,... for at least one specific reason,55.5
Afghanistan,M,Education,No education,... for at least one specific reason,77.4
Afghanistan,M,Education,Primary,... for at least one specific reason,68.1
Afghanistan,M,Education,Secondary,... for at least one specific reason,69.6
Afghanistan,M,Education,Higher,... if she argues with him,31.4
Afghanistan,M,Education,No education,... if she argues with him,50.2
Afghanistan,M,Education,Primary,... if she argues with him,41.0
Afghanistan,M,Education,Secondary,... if she argues with him,42.8
Afghanistan,M,Education,Higher,... if she goes out without telling him,43.6
Afghanistan,M,Education,No education,... if she goes out without telling him,66.0
Afghanistan,M,Education,Primary,... if she goes out without telling him,55.9
Afghanistan,M,Education,Secondary,... if she goes out without telling him,59.5
Afghanistan,M,Education,Higher,... if she neglects the children,20.9
Afghanistan,M,Education,No education,... if she neglects the children,29.7
Afghanistan,M,Education,Primary,... if she neglects the children,22.3
Afghanistan,M,Education,Secondary,... if she neglects the children,23.0
Afghanistan,M,Education,Higher,... if she refuses to have sex with him,11.9
Afghanistan,M,Education,No education,... if she refuses to have sex with him,23.2
Afghanistan,M,Education,Primary,... if she refuses to have sex with him,17.4
Afghanistan,M,Education,Secondary,... if she refuses to have sex with him,15.9
Afghanistan,M,Employment,Employed for cash,... for at least one specific reason,72.6
Afghanistan,M,Employment,Employed for kind,... for at least one specific reason,73.5
Afghanistan,M,Employment,Unemployed,... for at least one specific reason,67.4
Afghanistan,M,Employment,Employed for cash,... if she argues with him,45.5
Afghanistan,M,Employment,Employed for kind,... if she argues with him,47.8
Afghanistan,M,Employment,Unemployed,... if she argues with him,41.1
Afghanistan,M,Employment,Employed for cash,... if she goes out without telling him,60.9
Afghanistan,M,Employment,Employed for kind,... if she goes out without telling him,65.7
Afghanistan,M,Employment,Unemployed,... if she goes out without telling him,54.8
Afghanistan,M,Employment,Employed for cash,... if she neglects the children,25.6
Afghanistan,M,Employment,Employed for kind,... if she neglects the children,30.6
Afghanistan,M,Employment,Unemployed,... if she neglects the children,31.8
Afghanistan,M,Employment,Employed for cash,... if she refuses to have sex with him,18.9
Afghanistan,M,Employment,Employed for kind,... if she refuses to have sex with him,27.8
Afghanistan,M,Employment,Unemployed,... if she refuses to have sex with him,17.0
Afghanistan,M,Marital status,Married or living together,... for at least one specific reason,72.6
Afghanistan,M,Marital status,Never married,... for at least one specific reason,14.9
Afghanistan,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,48.8
Afghanistan,M,Marital status,Married or living together,... if she argues with him,45.5
Afghanistan,M,Marital status,Never married,... if she argues with him,14.9
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she argues with him,35.1
Afghanistan,M,Marital status,Married or living together,... if she goes out without telling him,61.3
Afghanistan,M,Marital status,Never married,... if she goes out without telling him,14.9
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,36.5
Afghanistan,M,Marital status,Married or living together,... if she neglects the children,26.1
Afghanistan,M,Marital status,Never married,... if she neglects the children,14.9
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,29.3
Afghanistan,M,Marital status,Married or living together,... if she refuses to have sex with him,19.7
Afghanistan,M,Marital status,Never married,... if she refuses to have sex with him,14.9
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,5.0
Afghanistan,M,Residence,Rural,... for at least one specific reason,76.1
Afghanistan,M,Residence,Urban,... for at least one specific reason,59.9
Afghanistan,M,Residence,Rural,... if she argues with him,47.0
Afghanistan,M,Residence,Urban,... if she argues with him,40.4
Afghanistan,M,Residence,Rural,... if she goes out without telling him,65.6
Afghanistan,M,Residence,Urban,... if she goes out without telling him,46.0
Afghanistan,M,Residence,Rural,... if she neglects the children,28.1
Afghanistan,M,Residence,Urban,... if she neglects the children,19.6
Afghanistan,M,Residence,Rural,... if she refuses to have sex with him,21.9
Afghanistan,M,Residence,Urban,... if she refuses to have sex with him,12.0
Albania,F,Education,Higher,... if she burns the food,0.2
Albania,F,Residence,Urban,... if she burns the food,0.4
Albania,F,Age,15-24,... if she burns the food,0.6
Albania,F,Education,Secondary,... if she burns the food,0.6
Albania,F,Employment,Employed for cash,... if she burns the food,0.6
Albania,F,Marital status,Never married,... if she burns the food,0.6
Albania,F,Marital status,"Widowed, divorced, separated",... if she burns the food,0.6
Albania,F,Age,25-34,... if she burns the food,0.8
Albania,F,Employment,Unemployed,... if she burns the food,0.8
Albania,F,Marital status,Married or living together,... if she burns the food,0.9
Albania,F,Age,35-49,... if she burns the food,1.0
Albania,F,Education,Primary,... if she burns the food,1.3
Albania,F,Residence,Rural,... if she burns the food,1.4
Albania,F,Employment,Employed for kind,... if she burns the food,2.4
Albania,F,Education,No education,... if she burns the food,5.8
Albania,M,Education,No education,... if she burns the food,0.0
Albania,M,Age,25-34,... if she burns the food,0.2
Albania,M,Education,Secondary,... if she burns the food,0.2
Albania,M,Employment,Employed for cash,... if she burns the food,0.3
Albania,M,Age,35-49,... if she burns the food,0.4
Albania,M,Marital status,Never married,... if she burns the food,0.4
Albania,M,Employment,Employed for kind,... if she burns the food,0.5
Albania,M,Residence,Rural,... if she burns the food,0.5
Albania,M,Residence,Urban,... if she burns the food,0.5
Albania,M,Marital status,Married or living together,... if she burns the food,0.6
Albania,M,Education,Higher,... if she burns the food,0.8
Albania,M,Education,Primary,... if she burns the food,0.8
Albania,M,Employment,Unemployed,... if she burns the food,0.8
Albania,M,Age,15-24,... if she burns the food,0.9
Albania,M,Marital status,"Widowed, divorced, separated",... if she burns the food,1.6
Albania,F,Age,15-24,... for at least one specific reason,4.7
Albania,F,Age,25-34,... for at least one specific reason,6.9
Albania,F,Age,35-49,... for at least one specific reason,8.2
Albania,F,Age,15-24,... if she argues with him,1.0
Albania,F,Age,25-34,... if she argues with him,1.7
Albania,F,Age,35-49,... if she argues with him,2.4
Albania,F,Age,15-24,... if she goes out without telling him,2.0
Albania,F,Age,25-34,... if she goes out without telling him,3.7
Albania,F,Age,35-49,... if she goes out without telling him,4.8
Albania,F,Age,15-24,... if she neglects the children,3.5
Albania,F,Age,25-34,... if she neglects the children,5.4
Albania,F,Age,35-49,... if she neglects the children,6.3
Albania,F,Age,15-24,... if she refuses to have sex with him,0.6
Albania,F,Age,25-34,... if she refuses to have sex with him,1.1
Albania,F,Age,35-49,... if she refuses to have sex with him,1.0
Albania,F,Education,Higher,... for at least one specific reason,1.4
Albania,F,Education,No education,... for at least one specific reason,26.3
Albania,F,Education,Primary,... for at least one specific reason,11.1
Albania,F,Education,Secondary,... for at least one specific reason,5.5
Albania,F,Education,Higher,... if she argues with him,0.4
Albania,F,Education,No education,... if she argues with him,11.7
Albania,F,Education,Primary,... if she argues with him,3.2
Albania,F,Education,Secondary,... if she argues with him,1.1
Albania,F,Education,Higher,... if she goes out without telling him,0.3
Albania,F,Education,No education,... if she goes out without telling him,14.9
Albania,F,Education,Primary,... if she goes out without telling him,6.9
Albania,F,Education,Secondary,... if she goes out without telling him,2.4
Albania,F,Education,Higher,... if she neglects the children,1.1
Albania,F,Education,No education,... if she neglects the children,21.1
Albania,F,Education,Primary,... if she neglects the children,8.6
Albania,F,Education,Secondary,... if she neglects the children,4.2
Albania,F,Education,Higher,... if she refuses to have sex with him,0.1
Albania,F,Education,No education,... if she refuses to have sex with him,6.3
Albania,F,Education,Primary,... if she refuses to have sex with him,1.5
Albania,F,Education,Secondary,... if she refuses to have sex with him,0.6
Albania,F,Employment,Employed for cash,... for at least one specific reason,4.1
Albania,F,Employment,Employed for kind,... for at least one specific reason,17.0
Albania,F,Employment,Unemployed,... for at least one specific reason,7.6
Albania,F,Employment,Employed for cash,... if she argues with him,1.2
Albania,F,Employment,Employed for kind,... if she argues with him,6.9
Albania,F,Employment,Unemployed,... if she argues with him,1.7
Albania,F,Employment,Employed for cash,... if she goes out without telling him,1.8
Albania,F,Employment,Employed for kind,... if she goes out without telling him,8.9
Albania,F,Employment,Unemployed,... if she goes out without telling him,4.4
Albania,F,Employment,Employed for cash,... if she neglects the children,3.2
Albania,F,Employment,Employed for kind,... if she neglects the children,13.6
Albania,F,Employment,Unemployed,... if she neglects the children,5.8
Albania,F,Employment,Employed for cash,... if she refuses to have sex with him,0.7
Albania,F,Employment,Employed for kind,... if she refuses to have sex with him,3.0
Albania,F,Employment,Unemployed,... if she refuses to have sex with him,0.8
Albania,F,Marital status,Married or living together,... for at least one specific reason,7.9
Albania,F,Marital status,Never married,... for at least one specific reason,4.3
Albania,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,7.0
Albania,F,Marital status,Married or living together,... if she argues with him,2.0
Albania,F,Marital status,Never married,... if she argues with him,1.1
Albania,F,Marital status,"Widowed, divorced, separated",... if she argues with him,3.4
Albania,F,Marital status,Married or living together,... if she goes out without telling him,4.6
Albania,F,Marital status,Never married,... if she goes out without telling him,1.7
Albania,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,2.3
Albania,F,Marital status,Married or living together,... if she neglects the children,6.1
Albania,F,Marital status,Never married,... if she neglects the children,3.2
Albania,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,5.1
Albania,F,Marital status,Married or living together,... if she refuses to have sex with him,1.0
Albania,F,Marital status,Never married,... if she refuses to have sex with him,0.5
Albania,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,1.1
Albania,F,Residence,Rural,... for at least one specific reason,10.3
Albania,F,Residence,Urban,... for at least one specific reason,4.5
Albania,F,Residence,Rural,... if she argues with him,3.1
Albania,F,Residence,Urban,... if she argues with him,0.9
Albania,F,Residence,Rural,... if she goes out without telling him,5.7
Albania,F,Residence,Urban,... if she goes out without telling him,2.3
Albania,F,Residence,Rural,... if she neglects the children,7.7
Albania,F,Residence,Urban,... if she neglects the children,3.6
Albania,F,Residence,Rural,... if she refuses to have sex with him,1.6
Albania,F,Residence,Urban,... if she refuses to have sex with him,0.5
Albania,M,Age,15-24,... for at least one specific reason,10.9
Albania,M,Age,25-34,... for at least one specific reason,11.3
Albania,M,Age,35-49,... for at least one specific reason,11.8
Albania,M,Age,15-24,... if she argues with him,4.4
Albania,M,Age,25-34,... if she argues with him,3.5
Albania,M,Age,35-49,... if she argues with him,4.2
Albania,M,Age,15-24,... if she goes out without telling him,5.3
Albania,M,Age,25-34,... if she goes out without telling him,6.1
Albania,M,Age,35-49,... if she goes out without telling him,7.8
Albania,M,Age,15-24,... if she neglects the children,7.1
Albania,M,Age,25-34,... if she neglects the children,8.6
Albania,M,Age,35-49,... if she neglects the children,8.3
Albania,M,Age,15-24,... if she refuses to have sex with him,3.0
Albania,M,Age,25-34,... if she refuses to have sex with him,2.5
Albania,M,Age,35-49,... if she refuses to have sex with him,1.1
Albania,M,Education,Higher,... for at least one specific reason,5.4
Albania,M,Education,No education,... for at least one specific reason,26.6
Albania,M,Education,Primary,... for at least one specific reason,14.6
Albania,M,Education,Secondary,... for at least one specific reason,11.2
Albania,M,Education,Higher,... if she argues with him,2.2
Albania,M,Education,No education,... if she argues with him,15.3
Albania,M,Education,Primary,... if she argues with him,5.9
Albania,M,Education,Secondary,... if she argues with him,3.2
Albania,M,Education,Higher,... if she goes out without telling him,2.7
Albania,M,Education,No education,... if she goes out without telling him,25.4
Albania,M,Education,Primary,... if she goes out without telling him,9.0
Albania,M,Education,Secondary,... if she goes out without telling him,5.9
Albania,M,Education,Higher,... if she neglects the children,3.8
Albania,M,Education,No education,... if she neglects the children,22.3
Albania,M,Education,Primary,... if she neglects the children,9.6
Albania,M,Education,Secondary,... if she neglects the children,8.4
Albania,M,Education,Higher,... if she refuses to have sex with him,0.7
Albania,M,Education,No education,... if she refuses to have sex with him,13.8
Albania,M,Education,Primary,... if she refuses to have sex with him,3.1
Albania,M,Education,Secondary,... if she refuses to have sex with him,1.7
Albania,M,Employment,Employed for cash,... for at least one specific reason,10.8
Albania,M,Employment,Employed for kind,... for at least one specific reason,9.6
Albania,M,Employment,Unemployed,... for at least one specific reason,12.4
Albania,M,Employment,Employed for cash,... if she argues with him,3.4
Albania,M,Employment,Employed for kind,... if she argues with him,3.6
Albania,M,Employment,Unemployed,... if she argues with him,5.0
Albania,M,Employment,Employed for cash,... if she goes out without telling him,7.2
Albania,M,Employment,Employed for kind,... if she goes out without telling him,6.2
Albania,M,Employment,Unemployed,... if she goes out without telling him,5.6
Albania,M,Employment,Employed for cash,... if she neglects the children,7.5
Albania,M,Employment,Employed for kind,... if she neglects the children,5.5
Albania,M,Employment,Unemployed,... if she neglects the children,9.1
Albania,M,Employment,Employed for cash,... if she refuses to have sex with him,1.3
Albania,M,Employment,Employed for kind,... if she refuses to have sex with him,0.9
Albania,M,Employment,Unemployed,... if she refuses to have sex with him,3.5
Albania,M,Marital status,Married or living together,... for at least one specific reason,11.7
Albania,M,Marital status,Never married,... for at least one specific reason,10.6
Albania,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,29.7
Albania,M,Marital status,Married or living together,... if she argues with him,4.1
Albania,M,Marital status,Never married,... if she argues with him,3.8
Albania,M,Marital status,"Widowed, divorced, separated",... if she argues with him,13.1
Albania,M,Marital status,Married or living together,... if she goes out without telling him,7.7
Albania,M,Marital status,Never married,... if she goes out without telling him,5.1
Albania,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,16.7
Albania,M,Marital status,Married or living together,... if she neglects the children,8.5
Albania,M,Marital status,Never married,... if she neglects the children,7.2
Albania,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,24.5
Albania,M,Marital status,Married or living together,... if she refuses to have sex with him,1.3
Albania,M,Marital status,Never married,... if she refuses to have sex with him,2.8
Albania,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,4.6
Albania,M,Residence,Rural,... for at least one specific reason,12.9
Albania,M,Residence,Urban,... for at least one specific reason,10.2
Albania,M,Residence,Rural,... if she argues with him,3.2
Albania,M,Residence,Urban,... if she argues with him,4.7
Albania,M,Residence,Rural,... if she goes out without telling him,7.4
Albania,M,Residence,Urban,... if she goes out without telling him,5.9
Albania,M,Residence,Rural,... if she neglects the children,8.9
Albania,M,Residence,Urban,... if she neglects the children,7.4
Albania,M,Residence,Rural,... if she refuses to have sex with him,2.2
Albania,M,Residence,Urban,... if she refuses to have sex with him,2.0
Angola,F,Education,Higher,... if she burns the food,0.9
Angola,F,Education,Secondary,... if she burns the food,5.3
Angola,F,Residence,Urban,... if she burns the food,6.9
Angola,F,Employment,Unemployed,... if she burns the food,8.8
Angola,F,Marital status,Never married,... if she burns the food,9.8
Angola,F,Employment,Employed for cash,... if she burns the food,9.9
Angola,F,Age,25-34,... if she burns the food,10.0
Angola,F,Age,15-24,... if she burns the food,10.6
Angola,F,Marital status,Married or living together,... if she burns the food,10.8
Angola,F,Age,35-49,... if she burns the food,11.0
Angola,F,Marital status,"Widowed, divorced, separated",... if she burns the food,12.2
Angola,F,Education,Primary,... if she burns the food,13.4
Angola,F,Employment,Employed for kind,... if she burns the food,14.3
Angola,F,Education,No education,... if she burns the food,17.3
Angola,F,Residence,Rural,... if she burns the food,19.0
Angola,M,Education,Higher,... if she burns the food,0.7
Angola,M,Age,35-49,... if she burns the food,3.7
Angola,M,Marital status,Married or living together,... if she burns the food,4.4
Angola,M,Residence,Urban,... if she burns the food,4.9
Angola,M,Education,Secondary,... if she burns the food,5.0
Angola,M,Age,25-34,... if she burns the food,5.3
Angola,M,Employment,Employed for cash,... if she burns the food,5.5
Angola,M,Employment,Unemployed,... if she burns the food,6.1
Angola,M,Marital status,Never married,... if she burns the food,7.3
Angola,M,Age,15-24,... if she burns the food,7.7
Angola,M,Employment,Employed for kind,... if she burns the food,7.9
Angola,M,Education,Primary,... if she burns the food,8.1
Angola,M,Residence,Rural,... if she burns the food,8.9
Angola,M,Marital status,"Widowed, divorced, separated",... if she burns the food,9.3
Angola,M,Education,No education,... if she burns the food,10.8
Angola,F,Age,15-24,... for at least one specific reason,24.9
Angola,F,Age,25-34,... for at least one specific reason,24.4
Angola,F,Age,35-49,... for at least one specific reason,26.6
Angola,F,Age,15-24,... if she argues with him,14.9
Angola,F,Age,25-34,... if she argues with him,14.1
Angola,F,Age,35-49,... if she argues with him,17.1
Angola,F,Age,15-24,... if she goes out without telling him,13.8
Angola,F,Age,25-34,... if she goes out without telling him,14.0
Angola,F,Age,35-49,... if she goes out without telling him,16.3
Angola,F,Age,15-24,... if she neglects the children,16.5
Angola,F,Age,25-34,... if she neglects the children,15.6
Angola,F,Age,35-49,... if she neglects the children,16.7
Angola,F,Age,15-24,... if she refuses to have sex with him,10.0
Angola,F,Age,25-34,... if she refuses to have sex with him,11.6
Angola,F,Age,35-49,... if she refuses to have sex with him,14.0
Angola,F,Education,Higher,... for at least one specific reason,7.0
Angola,F,Education,No education,... for at least one specific reason,34.5
Angola,F,Education,Primary,... for at least one specific reason,30.9
Angola,F,Education,Secondary,... for at least one specific reason,16.8
Angola,F,Education,Higher,... if she argues with him,3.0
Angola,F,Education,No education,... if she argues with him,23.9
Angola,F,Education,Primary,... if she argues with him,19.1
Angola,F,Education,Secondary,... if she argues with him,8.2
Angola,F,Education,Higher,... if she goes out without telling him,2.8
Angola,F,Education,No education,... if she goes out without telling him,21.0
Angola,F,Education,Primary,... if she goes out without telling him,18.5
Angola,F,Education,Secondary,... if she goes out without telling him,8.5
Angola,F,Education,Higher,... if she neglects the children,4.2
Angola,F,Education,No education,... if she neglects the children,22.3
Angola,F,Education,Primary,... if she neglects the children,20.1
Angola,F,Education,Secondary,... if she neglects the children,10.8
Angola,F,Education,Higher,... if she refuses to have sex with him,2.5
Angola,F,Education,No education,... if she refuses to have sex with him,19.9
Angola,F,Education,Primary,... if she refuses to have sex with him,14.2
Angola,F,Education,Secondary,... if she refuses to have sex with him,5.3
Angola,F,Employment,Employed for cash,... for at least one specific reason,26.6
Angola,F,Employment,Employed for kind,... for at least one specific reason,28.4
Angola,F,Employment,Unemployed,... for at least one specific reason,21.3
Angola,F,Employment,Employed for cash,... if she argues with him,16.1
Angola,F,Employment,Employed for kind,... if she argues with him,19.1
Angola,F,Employment,Unemployed,... if she argues with him,11.6
Angola,F,Employment,Employed for cash,... if she goes out without telling him,15.2
Angola,F,Employment,Employed for kind,... if she goes out without telling him,17.3
Angola,F,Employment,Unemployed,... if she goes out without telling him,11.7
Angola,F,Employment,Employed for cash,... if she neglects the children,16.7
Angola,F,Employment,Employed for kind,... if she neglects the children,18.9
Angola,F,Employment,Unemployed,... if she neglects the children,14.0
Angola,F,Employment,Employed for cash,... if she refuses to have sex with him,12.4
Angola,F,Employment,Employed for kind,... if she refuses to have sex with him,14.7
Angola,F,Employment,Unemployed,... if she refuses to have sex with him,8.2
Angola,F,Marital status,Married or living together,... for at least one specific reason,27.2
Angola,F,Marital status,Never married,... for at least one specific reason,21.1
Angola,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,28.5
Angola,F,Marital status,Married or living together,... if she argues with him,16.7
Angola,F,Marital status,Never married,... if she argues with him,12.3
Angola,F,Marital status,"Widowed, divorced, separated",... if she argues with him,17.3
Angola,F,Marital status,Married or living together,... if she goes out without telling him,15.9
Angola,F,Marital status,Never married,... if she goes out without telling him,11.9
Angola,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,15.4
Angola,F,Marital status,Married or living together,... if she neglects the children,17.2
Angola,F,Marital status,Never married,... if she neglects the children,14.1
Angola,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,19.0
Angola,F,Marital status,Married or living together,... if she refuses to have sex with him,12.5
Angola,F,Marital status,Never married,... if she refuses to have sex with him,8.6
Angola,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,16.2
Angola,F,Residence,Rural,... for at least one specific reason,37.4
Angola,F,Residence,Urban,... for at least one specific reason,19.8
Angola,F,Residence,Rural,... if she argues with him,26.2
Angola,F,Residence,Urban,... if she argues with him,10.4
Angola,F,Residence,Rural,... if she goes out without telling him,22.9
Angola,F,Residence,Urban,... if she goes out without telling him,10.8
Angola,F,Residence,Rural,... if she neglects the children,24.7
Angola,F,Residence,Urban,... if she neglects the children,12.6
Angola,F,Residence,Rural,... if she refuses to have sex with him,21.3
Angola,F,Residence,Urban,... if she refuses to have sex with him,7.2
