Country,Gender,Demographics_Question,Demographics_Response,Question,Value
Sierra Leone,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,50.3
Burundi,F,Employment,Employed for cash,... if she goes out without telling him,40.9
Guinea,M,Marital status,Never married,... if she refuses to have sex with him,25.4
Ghana,M,Age,15-24,... if she argues with him,9.0
Afghanistan,M,Education,Secondary,... for at least one specific reason,69.6
Maldives,F,Residence,Urban,... if she argues with him,14.9
Cambodia,M,Employment,Employed for cash,... if she refuses to have sex with him,3.8
Tajikistan,M,Residence,Rural,... for at least one specific reason,14.9
Kyrgyz Republic,F,Employment,Unemployed,... if she burns the food,7.0
Tajikistan,M,Marital status,Married or living together,... if she burns the food,14.9
Tajikistan,F,Age,25-34,... if she argues with him,58.2
Namibia,M,Age,35-49,... if she neglects the children,13.9
Congo Democratic Republic,F,Residence,Urban,... if she refuses to have sex with him,35.6
Congo,F,Education,Secondary,... if she neglects the children,47.4
Tanzania,F,Age,15-24,... if she refuses to have sex with him,26.9
Sierra Leone,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,7.9
Guyana,F,Marital status,Married or living together,... if she burns the food,4.1
Turkmenistan,M,Marital status,Never married,... if she goes out without telling him,14.9
South Africa,F,Marital status,Married or living together,... if she argues with him,2.0
Niger,F,Age,15-24,... if she burns the food,32.3
Nigeria,M,Education,No education,... if she goes out without telling him,15.1
Guyana,F,Education,Secondary,... if she neglects the children,11.0
Guatemala,F,Age,15-24,... for at least one specific reason,11.7
Nepal,M,Age,35-49,... for at least one specific reason,20.1
Cambodia,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,42.1
Pakistan,M,Education,Primary,... for at least one specific reason,41.2
Guinea,M,Age,25-34,... if she goes out without telling him,39.1
Mali,F,Employment,Employed for kind,... if she refuses to have sex with him,66.7
Albania,M,Age,25-34,... if she neglects the children,8.6
Ethiopia,F,Age,25-34,... if she goes out without telling him,46.0
Zimbabwe,F,Employment,Unemployed,... if she argues with him,18.6
Guatemala,M,Age,15-24,... for at least one specific reason,10.5
Egypt,M,Education,Higher,... for at least one specific reason,14.9
Burundi,M,Marital status,Never married,... if she neglects the children,31.1
Philippines,M,Employment,Employed for cash,... if she argues with him,14.9
Albania,M,Age,25-34,... for at least one specific reason,11.3
Maldives,F,Education,Higher,... if she argues with him,14.9
Ukraine,M,Residence,Urban,... if she refuses to have sex with him,1.5
Burundi,M,Education,Primary,... if she refuses to have sex with him,14.8
Timor-Leste,F,Employment,Employed for cash,... if she burns the food,30.3
Bolivia,M,Employment,Unemployed,... if she burns the food,14.9
Guyana,F,Age,15-24,... if she neglects the children,11.7
Nigeria,F,Education,Secondary,... for at least one specific reason,30.2
Tajikistan,F,Age,35-49,... if she refuses to have sex with him,28.4
Zimbabwe,F,Education,Secondary,... if she burns the food,7.1
Turkey,F,Education,Primary,... if she argues with him,8.4
Nepal,F,Education,Secondary,... if she argues with him,6.4
Eritrea,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,56.4
Jordan,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,14.9
Pakistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,27.9
Armenia,F,Age,25-34,... if she burns the food,0.4
Congo Democratic Republic,F,Residence,Rural,... if she neglects the children,51.4
Congo Democratic Republic,F,Employment,Employed for kind,... if she goes out without telling him,43.2
Kenya,F,Education,No education,... if she argues with him,36.9
Dominican Republic,F,Education,Primary,... if she neglects the children,3.3
Guinea,F,Age,15-24,... for at least one specific reason,65.1
Turkey,M,Residence,Urban,... if she neglects the children,14.9
Honduras,M,Education,Primary,... for at least one specific reason,12.3
Guatemala,M,Employment,Employed for kind,... if she neglects the children,7.2
Nicaragua,M,Education,Higher,... for at least one specific reason,14.9
Comoros,F,Employment,Employed for kind,... for at least one specific reason,49.7
Madagascar,M,Age,25-34,... if she refuses to have sex with him,8.4
Turkey,F,Employment,Unemployed,... if she goes out without telling him,4.4
Guyana,F,Marital status,Married or living together,... if she argues with him,8.4
Guyana,M,Employment,Employed for cash,... for at least one specific reason,18.7
Yemen,M,Marital status,Never married,... if she refuses to have sex with him,14.9
Ghana,F,Age,35-49,... for at least one specific reason,27.5
Haiti,M,Education,No education,... if she refuses to have sex with him,3.2
Colombia,F,Age,25-34,... if she goes out without telling him,1.1
Turkmenistan,M,Education,Higher,... if she goes out without telling him,14.9
Gabon,M,Employment,Unemployed,... if she goes out without telling him,14.1
Eritrea,M,Age,25-34,... for at least one specific reason,14.9
Guatemala,M,Age,25-34,... if she argues with him,1.1
South Africa,F,Age,15-24,... if she refuses to have sex with him,1.0
Indonesia,F,Education,Secondary,... if she argues with him,5.2
Eritrea,F,Marital status,Never married,... if she refuses to have sex with him,32.8
Zimbabwe,F,Marital status,Never married,... if she refuses to have sex with him,11.6
Togo,M,Age,15-24,... if she burns the food,6.8
Morocco,F,Age,15-24,... if she neglects the children,49.8
Egypt,F,Education,No education,... if she refuses to have sex with him,33.4
Egypt,M,Residence,Rural,... if she argues with him,14.9
Comoros,F,Employment,Employed for cash,... for at least one specific reason,39.7
Bolivia,F,Age,25-34,... if she refuses to have sex with him,2.1
Congo Democratic Republic,F,Education,Primary,... if she refuses to have sex with him,49.3
Kenya,F,Marital status,Never married,... if she burns the food,6.4
Rwanda,F,Age,15-24,... if she argues with him,21.4
Maldives,F,Employment,Employed for kind,... if she neglects the children,14.3
Nepal,M,Marital status,Never married,... if she goes out without telling him,10.5
Pakistan,M,Employment,Employed for cash,... if she goes out without telling him,27.9
Nepal,M,Employment,Employed for kind,... for at least one specific reason,29.3
Congo Democratic Republic,F,Education,Primary,... if she goes out without telling him,51.8
Turkmenistan,M,Education,Secondary,... for at least one specific reason,14.9
Myanmar,F,Education,Primary,... if she argues with him,11.5
Nepal,M,Employment,Unemployed,... if she neglects the children,22.6
Burkina Faso,M,Residence,Urban,... if she argues with him,12.3
Rwanda,M,Residence,Rural,... if she refuses to have sex with him,7.5
Eswatini,F,Employment,Employed for kind,... if she goes out without telling him,9.1
Cote d'Ivoire,F,Age,15-24,... for at least one specific reason,50.6
Togo,M,Marital status,Married or living together,... if she argues with him,9.5
Maldives,F,Residence,Urban,... if she refuses to have sex with him,9.4
Yemen,F,Education,Primary,... if she argues with him,18.4
Uganda,M,Employment,Employed for kind,... if she burns the food,7.5
Turkmenistan,F,Marital status,Never married,... if she argues with him,27.4
Haiti,M,Marital status,"Widowed, divorced, separated",... if she argues with him,1.6
Angola,M,Age,35-49,... for at least one specific reason,15.7
Morocco,M,Residence,Rural,... if she burns the food,14.9
Namibia,M,Marital status,Never married,... if she goes out without telling him,11.2
Maldives,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,5.8
Moldova,M,Marital status,Married or living together,... if she argues with him,7.1
Turkey,F,Marital status,Married or living together,... if she goes out without telling him,5.2
Afghanistan,M,Age,25-34,... for at least one specific reason,70.5
Indonesia,M,Residence,Rural,... if she argues with him,4.7
Indonesia,F,Age,15-24,... if she burns the food,3.1
Comoros,M,Age,25-34,... if she refuses to have sex with him,9.5
Nigeria,M,Age,15-24,... if she neglects the children,15.6
Timor-Leste,M,Employment,Unemployed,... if she goes out without telling him,40.9
Guatemala,M,Age,35-49,... if she goes out without telling him,1.6
Togo,F,Age,15-24,... if she refuses to have sex with him,7.8
Angola,F,Education,Primary,... if she argues with him,19.1
Rwanda,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,10.3
Zambia,M,Employment,Employed for cash,... if she goes out without telling him,14.9
Tajikistan,F,Education,Higher,... if she goes out without telling him,36.2
Morocco,F,Education,No education,... if she burns the food,36.4
Indonesia,F,Employment,Employed for cash,... if she refuses to have sex with him,8.5
Togo,F,Education,No education,... if she burns the food,17.7
Kyrgyz Republic,F,Marital status,Married or living together,... if she burns the food,8.1
Egypt,M,Residence,Urban,... if she burns the food,14.9
Ethiopia,F,Marital status,Married or living together,... if she burns the food,43.8
Honduras,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,4.3
Malawi,F,Employment,Employed for kind,... if she goes out without telling him,6.7
Yemen,F,Residence,Rural,... if she goes out without telling him,42.0
Senegal,F,Age,15-24,... if she argues with him,36.0
Sao Tome and Principe,F,Employment,Unemployed,... if she burns the food,7.3
Gambia,F,Employment,Employed for kind,... if she refuses to have sex with him,51.4
Cambodia,F,Education,No education,... if she refuses to have sex with him,20.1
Egypt,M,Age,25-34,... if she goes out without telling him,14.9
Turkmenistan,F,Employment,Employed for kind,... if she argues with him,49.1
Yemen,M,Employment,Employed for cash,... for at least one specific reason,14.9
Colombia,M,Employment,Employed for cash,... if she burns the food,1.1
Niger,M,Education,Primary,... if she argues with him,25.8
Cameroon,M,Employment,Employed for kind,... if she refuses to have sex with him,8.1
Myanmar,F,Employment,Employed for cash,... if she goes out without telling him,22.5
Colombia,F,Employment,Employed for kind,... for at least one specific reason,5.5
Afghanistan,M,Employment,Employed for kind,... if she burns the food,10.7
Kyrgyz Republic,M,Employment,Employed for cash,... if she neglects the children,48.4
Zimbabwe,M,Education,No education,... if she burns the food,9.4
Lesotho,F,Education,Higher,... if she refuses to have sex with him,0.5
Gambia,F,Marital status,Never married,... if she argues with him,18.1
Armenia,M,Employment,Employed for kind,... if she burns the food,1.0
Madagascar,F,Employment,Unemployed,... for at least one specific reason,33.0
Jordan,F,Age,35-49,... if she argues with him,5.6
Eritrea,F,Residence,Urban,... if she neglects the children,43.7
Benin,M,Marital status,Never married,... if she neglects the children,11.0
Senegal,M,Education,Primary,... if she argues with him,18.9
Turkey,M,Marital status,Married or living together,... if she burns the food,14.9
Burkina Faso,M,Employment,Employed for cash,... if she burns the food,6.1
Myanmar,F,Age,25-34,... if she argues with him,9.8
Cambodia,F,Age,35-49,... if she argues with him,29.9
Albania,M,Education,Higher,... if she refuses to have sex with him,0.7
Afghanistan,M,Age,15-24,... if she argues with him,44.4
Togo,F,Marital status,Never married,... if she refuses to have sex with him,6.5
Gambia,M,Residence,Rural,... if she burns the food,9.7
Timor-Leste,M,Residence,Urban,... if she goes out without telling him,58.1
Egypt,F,Education,No education,... if she goes out without telling him,41.8
Pakistan,M,Education,Secondary,... if she goes out without telling him,25.4
Peru,M,Age,25-34,... if she neglects the children,14.9
Philippines,M,Residence,Urban,... for at least one specific reason,14.9
Ukraine,F,Employment,Employed for cash,... if she goes out without telling him,0.4
Zambia,F,Residence,Urban,... if she goes out without telling him,20.7
Zimbabwe,M,Employment,Employed for cash,... if she refuses to have sex with him,5.2
Tajikistan,F,Education,Higher,... if she argues with him,40.9
Eswatini,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,10.9
Comoros,M,Marital status,Married or living together,... if she argues with him,4.0
Guinea,F,Residence,Rural,... if she goes out without telling him,58.9
Gabon,F,Residence,Rural,... if she argues with him,38.7
Congo,M,Age,15-24,... if she burns the food,14.9
Zambia,M,Education,Secondary,... if she neglects the children,18.5
Cote d'Ivoire,F,Education,Primary,... for at least one specific reason,50.1
Eritrea,M,Employment,Unemployed,... if she neglects the children,14.9
Yemen,F,Marital status,Married or living together,... if she neglects the children,31.3
Zambia,F,Education,Higher,... if she burns the food,2.5
Cote d'Ivoire,M,Employment,Unemployed,... if she burns the food,16.4
Madagascar,F,Employment,Unemployed,... if she neglects the children,28.8
Turkey,F,Age,35-49,... if she argues with him,7.9
Bangladesh,F,Employment,Unemployed,... if she goes out without telling him,14.2
Kenya,M,Employment,Employed for cash,... for at least one specific reason,35.8
Zimbabwe,M,Education,Primary,... for at least one specific reason,40.1
Timor-Leste,F,Employment,Unemployed,... if she goes out without telling him,60.9
Moldova,F,Residence,Rural,... if she neglects the children,22.3
Senegal,F,Age,25-34,... if she argues with him,34.1
Honduras,M,Education,Secondary,... if she burns the food,1.5
Morocco,F,Education,Secondary,... if she goes out without telling him,22.6
Bolivia,M,Age,15-24,... if she neglects the children,14.9
Timor-Leste,F,Employment,Employed for kind,... if she neglects the children,74.4
Eritrea,F,Employment,Employed for cash,... if she argues with him,36.8
Rwanda,M,Residence,Rural,... if she argues with him,5.8
Niger,F,Education,Primary,... if she goes out without telling him,43.1
Ethiopia,M,Education,Secondary,... if she refuses to have sex with him,6.4
Zimbabwe,F,Employment,Employed for cash,... if she neglects the children,18.8
Maldives,M,Marital status,Married or living together,... if she neglects the children,10.5
Yemen,M,Employment,Employed for kind,... if she burns the food,14.9
Afghanistan,F,Marital status,Married or living together,... if she burns the food,18.3
Kyrgyz Republic,F,Employment,Employed for cash,... if she burns the food,4.5
Eritrea,M,Residence,Rural,... if she neglects the children,14.9
Kenya,F,Marital status,Married or living together,... if she neglects the children,34.6
Bolivia,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,14.9
Zambia,M,Residence,Rural,... if she neglects the children,23.4
Nicaragua,F,Education,Higher,... if she refuses to have sex with him,0.5
Sao Tome and Principe,M,Employment,Unemployed,... if she neglects the children,12.6
Armenia,M,Residence,Rural,... if she refuses to have sex with him,2.2
Kenya,F,Age,25-34,... if she goes out without telling him,21.1
Eswatini,F,Age,15-24,... if she argues with him,23.4
Kenya,M,Employment,Unemployed,... if she neglects the children,23.5
Zambia,M,Employment,Employed for kind,... if she goes out without telling him,20.9
Liberia,M,Employment,Unemployed,... for at least one specific reason,21.3
Azerbaijan,M,Education,No education,... if she burns the food,14.9
Haiti,F,Age,35-49,... if she burns the food,3.1
Philippines,F,Residence,Urban,... if she refuses to have sex with him,1.1
Albania,M,Employment,Employed for cash,... if she argues with him,3.4
Sierra Leone,F,Employment,Employed for kind,... if she neglects the children,60.6
Cameroon,M,Marital status,"Widowed, divorced, separated",... if she argues with him,18.5
Guatemala,F,Age,25-34,... if she argues with him,2.7
Haiti,M,Age,25-34,... if she burns the food,1.3
Bangladesh,F,Residence,Rural,... if she burns the food,4.9
Comoros,M,Age,35-49,... for at least one specific reason,8.4
Kyrgyz Republic,F,Employment,Employed for cash,... if she argues with him,12.4
Angola,M,Education,Higher,... if she refuses to have sex with him,0.6
Philippines,F,Marital status,Married or living together,... if she goes out without telling him,3.7
Yemen,F,Residence,Rural,... if she burns the food,12.7
Indonesia,F,Marital status,Never married,... if she argues with him,6.2
Nicaragua,F,Age,25-34,... if she goes out without telling him,6.8
Sao Tome and Principe,M,Employment,Employed for cash,... if she burns the food,6.4
Benin,M,Education,Primary,... if she argues with him,9.4
Timor-Leste,M,Age,25-34,... for at least one specific reason,55.3
Guinea,M,Marital status,Married or living together,... for at least one specific reason,55.4
Guatemala,F,Age,15-24,... if she refuses to have sex with him,2.5
Kenya,F,Marital status,Married or living together,... if she burns the food,7.2
Benin,M,Age,25-34,... if she neglects the children,9.7
Madagascar,F,Residence,Rural,... for at least one specific reason,31.3
Madagascar,F,Age,15-24,... if she goes out without telling him,20.6
Malawi,F,Education,Higher,... for at least one specific reason,4.0
Eritrea,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,53.1
Zimbabwe,F,Employment,Unemployed,... if she refuses to have sex with him,15.6
Mozambique,F,Education,Higher,... if she argues with him,5.5
Malawi,F,Marital status,Married or living together,... for at least one specific reason,16.0
Albania,M,Age,15-24,... if she argues with him,4.4
Cote d'Ivoire,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,18.3
Maldives,F,Age,25-34,... for at least one specific reason,19.4
Guinea,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,50.9
Gabon,M,Age,35-49,... if she neglects the children,22.9
Nepal,F,Education,Primary,... for at least one specific reason,32.8
Yemen,F,Education,Secondary,... if she burns the food,3.5
Angola,M,Marital status,"Widowed, divorced, separated",... if she burns the food,9.3
Azerbaijan,M,Age,35-49,... if she neglects the children,30.3
Pakistan,F,Residence,Urban,... if she refuses to have sex with him,14.8
Eswatini,F,Age,15-24,... if she neglects the children,17.0
Albania,F,Residence,Urban,... if she goes out without telling him,2.3
Congo Democratic Republic,F,Education,Secondary,... if she argues with him,57.6
Maldives,M,Employment,Employed for cash,... if she burns the food,14.9
Kenya,M,Marital status,Never married,... for at least one specific reason,37.0
Togo,M,Residence,Rural,... if she neglects the children,15.6
Liberia,F,Residence,Urban,... if she burns the food,6.1
Benin,F,Age,35-49,... for at least one specific reason,33.7
Madagascar,F,Employment,Unemployed,... if she burns the food,6.8
Tanzania,F,Education,No education,... if she refuses to have sex with him,41.9
South Africa,M,Age,15-24,... if she burns the food,2.3
Uganda,F,Marital status,Never married,... if she refuses to have sex with him,16.6
Uganda,F,Residence,Urban,... if she burns the food,8.4
Malawi,F,Education,Higher,... if she burns the food,0.8
Gambia,M,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,16.1
Albania,F,Marital status,Never married,... if she goes out without telling him,1.7
Honduras,M,Education,Higher,... if she goes out without telling him,0.3
Burkina Faso,M,Marital status,Married or living together,... if she argues with him,19.7
Nigeria,F,Marital status,Married or living together,... if she goes out without telling him,27.7
Maldives,M,Employment,Unemployed,... if she refuses to have sex with him,7.4
Morocco,M,Education,Primary,... if she goes out without telling him,14.9
Egypt,F,Employment,Employed for cash,... if she argues with him,6.6
Eswatini,M,Education,No education,... if she goes out without telling him,11.5
Congo Democratic Republic,M,Age,25-34,... if she neglects the children,40.7
Rwanda,F,Marital status,Never married,... if she argues with him,20.9
Honduras,F,Age,15-24,... for at least one specific reason,13.2
Gambia,F,Age,15-24,... if she neglects the children,36.3
Maldives,F,Education,No education,... for at least one specific reason,19.4
Bolivia,M,Age,35-49,... if she refuses to have sex with him,14.9
Senegal,F,Residence,Urban,... for at least one specific reason,31.6
Sao Tome and Principe,F,Education,Secondary,... for at least one specific reason,14.7
Angola,F,Education,Secondary,... if she goes out without telling him,8.5
Eritrea,M,Education,No education,... for at least one specific reason,14.9
Yemen,M,Marital status,Never married,... if she neglects the children,14.9
Cambodia,M,Marital status,Never married,... if she goes out without telling him,9.9
Armenia,F,Marital status,Married or living together,... for at least one specific reason,11.4
Burundi,F,Marital status,Married or living together,... if she argues with him,29.6
Niger,F,Education,Secondary,... if she burns the food,21.6
Gabon,M,Residence,Urban,... if she burns the food,6.8
Namibia,F,Education,Primary,... if she neglects the children,27.8
Dominican Republic,F,Employment,Employed for kind,... if she neglects the children,1.7
Madagascar,F,Marital status,Married or living together,... if she neglects the children,28.2
Guinea,F,Marital status,Married or living together,... if she neglects the children,55.9
Senegal,M,Education,No education,... if she burns the food,7.5
Colombia,M,Residence,Rural,... if she neglects the children,5.0
Guyana,M,Residence,Rural,... if she refuses to have sex with him,4.0
Zimbabwe,M,Education,Primary,... if she argues with him,19.8
Mali,M,Education,Primary,... if she burns the food,10.7
Benin,M,Age,35-49,... if she argues with him,7.4
Philippines,F,Employment,Employed for kind,... if she argues with him,2.9
Namibia,F,Education,Primary,... if she argues with him,19.9
Honduras,M,Employment,Employed for cash,... if she neglects the children,7.0
Turkey,F,Education,Higher,... if she argues with him,1.4
Jordan,F,Age,25-34,... if she goes out without telling him,7.2
Gambia,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,26.4
Egypt,M,Employment,Employed for kind,... if she neglects the children,14.9
Guatemala,M,Employment,Unemployed,... for at least one specific reason,12.7
Madagascar,F,Residence,Rural,... if she neglects the children,27.3
Burkina Faso,F,Employment,Employed for kind,... for at least one specific reason,45.8
Turkmenistan,F,Education,Primary,... if she neglects the children,44.6
Tanzania,M,Education,Primary,... for at least one specific reason,42.6
Guyana,M,Age,15-24,... for at least one specific reason,23.0
Gambia,F,Employment,Unemployed,... for at least one specific reason,52.8
Pakistan,F,Education,Secondary,... if she argues with him,17.8
Guatemala,F,Age,25-34,... if she burns the food,3.4
Zambia,F,Employment,Employed for cash,... if she argues with him,33.4
Azerbaijan,F,Employment,Employed for cash,... if she neglects the children,27.7
Azerbaijan,F,Marital status,Married or living together,... if she burns the food,13.6
Turkey,F,Marital status,Never married,... if she argues with him,4.3
Lesotho,M,Marital status,Married or living together,... for at least one specific reason,34.4
Lesotho,M,Marital status,Never married,... if she burns the food,7.2
Eswatini,F,Marital status,Married or living together,... if she refuses to have sex with him,3.6
Sierra Leone,M,Education,Primary,... if she goes out without telling him,20.8
Comoros,M,Age,25-34,... for at least one specific reason,14.1
Myanmar,F,Employment,Unemployed,... if she refuses to have sex with him,10.2
Guatemala,F,Education,Primary,... if she argues with him,4.5
Burundi,M,Education,No education,... if she argues with him,10.7
Philippines,M,Employment,Unemployed,... for at least one specific reason,14.9
Togo,M,Education,Higher,... if she burns the food,0.9
Guinea,F,Marital status,Never married,... if she refuses to have sex with him,33.3
Zambia,F,Employment,Employed for kind,... if she goes out without telling him,40.2
